gen,best,avg,worst
1,10.926816217981022,12.914873974315217,14.592928561106143
2,10.690467269923609,12.668427659163205,14.310038630929983
3,10.690467269923609,12.625957979302077,14.307472331904457
4,10.558095615945994,12.611047906016081,14.223840358431099
5,10.388462853467871,12.572193789749782,14.402452699738548
6,10.059729873522446,12.564723851359053,13.952446372226065
7,10.059729873522446,12.475450209423682,14.635026033073457
8,10.059729873522446,12.517329252464592,14.223798125088893
9,10.059729873522446,12.35912744428947,14.115215699604523
10,10.059729873522446,12.260236501261918,14.098767425894936
11,10.059729873522446,12.21945497360281,13.987472406602318
12,10.059729873522446,12.52357957467362,14.076157300479055
13,10.059729873522446,12.372604037766756,14.583510565624165
14,10.059729873522446,12.420592876338658,14.27208973806568
15,9.853609721803378,12.225577530402045,14.126610903871184
16,9.853609721803378,12.263834912842047,14.014465831132513
17,9.853609721803378,12.29648986458338,14.08466313632714
18,9.853609721803378,12.377138272838076,14.04321865862039
19,9.853609721803378,12.396687812898724,14.22443782369734
20,9.853609721803378,12.258695793409368,14.363490542500132
21,9.853609721803378,12.29068338643189,14.353488397647485
22,9.853609721803378,12.380956395235614,13.975860299886055
23,9.853609721803378,12.44453179054297,13.965486476495478
24,9.853609721803378,12.379126323431592,14.25706197335497
25,9.853609721803378,12.508148623470145,14.061483102985436
26,9.853609721803378,12.450750322933091,14.369148608847583
27,9.853609721803378,12.35727905117396,14.07819004291047
28,9.853609721803378,12.544087154222433,14.414730866391032
29,9.853609721803378,12.494279939417709,14.368729739215262
30,9.853609721803378,12.427213870179425,14.460487286628366
31,9.853609721803378,12.295820309219721,14.034413475775095
32,9.853609721803378,12.273726949505122,14.444758514952216
33,9.853609721803378,12.347248215066845,14.068481565745094
34,9.853609721803378,12.509384547431546,14.403172932412655
35,9.853609721803378,12.41904653819108,14.063423275017437
36,9.853609721803378,12.457238671064262,14.00843575127121
37,9.853609721803378,12.411501237705114,14.156345599717481
38,9.853609721803378,12.387722358716037,14.208587553652071
39,9.853609721803378,12.2981632041813,13.953762238451274
40,9.853609721803378,12.384243045760016,14.370917289717664
41,9.853609721803378,12.484763339097446,13.904752496429287
42,9.853609721803378,12.400559372736222,14.107700292681065
43,9.853609721803378,12.329891873141367,14.64156755500152
44,9.853609721803378,12.432810116341816,14.400034163239104
45,9.853609721803378,12.508867710503196,14.190156719860692
46,9.853609721803378,12.458385617352691,14.324825578955553
47,9.853609721803378,12.410068411740312,14.589438392806777
48,9.853609721803378,12.252133418859579,13.89997420684296
49,9.853609721803378,12.456470618183566,13.889170698955509
50,9.853609721803378,12.384288273258674,14.413537438024298
51,9.853609721803378,12.203934541577619,13.754510426192441
52,9.853609721803378,12.31191311299583,14.280017562568025
53,9.853609721803378,12.476042446864895,14.09295924448388
54,9.800604649240585,12.452280063530006,14.211233629817114
55,9.800604649240585,12.408383495957132,14.58638410442143
56,9.800604649240585,12.36176478879317,14.775401402908177
